t,per,tb,L,MLT,lat,lon,eye
2003-02-28 11:20:37.540,0.128,0.7857,5.573,16.39,68.97,74.358,0
2003-03-05 10:00:08.460,0.3333,0.5533,4.411,0.178,56.56,-131.173,1
2003-03-06 02:21:51.620,0.15,1.0196,5.669,1.157,-69.963,18.559,0
2003-03-15 13:49:26.840,0.72,0.6218,5.174,9.825,-77.707,-59.299,1
2003-03-18 14:23:42.420,0.085,1.2126,9.577,9.042,-81.609,-127.033,0
2003-03-22 05:22:36.700,0.6133,0.6001,5.089,9.722,-51.21,85.304,1
2003-03-23 11:05:22.300,0.195,0.5729,4.703,2.586,-62.693,-155.9,2
2003-03-28 22:05:40.440,0.215,0.6624,4.553,22.031,-62.492,27.46,0
2003-03-29 04:27:59.240,0.18,0.5896,4.395,0.726,-74.81,-52.283,0
2003-03-30 23:02:32.800,0.2867,0.695,4.738,22.015,-67.13,12.949,0
2003-03-31 23:44:17.920,0.235,0.6848,4.718,22.448,58.3,-33.79,0
2003-04-18 11:58:07.900,0.084,0.5826,4.846,20.646,-48.474,129.387,0
2003-04-18 12:11:57.380,0.2533,0.6147,5.091,7.017,-75.602,-98.63,2
2003-04-22 04:36:37.240,0.2667,0.6681,5.086,4.17,-66.068,23.09,1
2003-04-23 05:40:33.980,0.165,0.6686,4.973,23.03,-69.633,-132.35,2
2003-04-26 07:56:52.860,0.21,0.8356,5.754,3.894,-79.089,-66.047,0
2003-05-01 12:37:40.180,0.08,0.7493,5.592,6.336,-72.92,-126.016,0
2003-05-01 19:02:19.120,0.3467,0.6027,4.917,6.557,-51.66,155.166,1
2003-05-02 04:24:30.620,0.33,0.6587,5.166,2.542,-72.314,-2.955,1
2003-05-02 12:17:16.880,0.1267,0.7622,5.88,6.11,-73.963,-125.166,0
2003-05-04 00:39:56.900,0.495,0.624,5.049,3.485,-55.186,64.59,1
2003-05-07 07:27:12.480,0.2467,0.5706,4.545,3.332,-75.29,-65.992,1
2003-05-08 05:32:14.220,0.2,0.615,4.864,2.269,-75.717,-40.421,1
2003-05-08 06:10:49.860,0.48,0.7066,5.559,7.314,65.787,4.344,2
2003-05-08 15:04:20.680,0.36,0.6273,5.164,6.015,-61.71,-164.826,2
2003-05-10 03:55:06.420,0.26,0.5178,4.152,6.519,63.11,32.035,2
2003-05-28 06:41:45.460,0.1867,0.5961,4.57,1.618,-73.998,-95.397,1
2003-06-20 10:28:19.480,0.2933,0.6507,5.021,22.825,63.077,-152.831,0
2003-06-22 07:38:24.920,0.16,0.5595,4.525,23.57,-63.938,-148.697,2
2003-06-22 19:27:29.700,0.4133,0.8105,6.334,8.48,65.371,-148.194,2
2003-06-28 17:10:39.540,0.185,0.5455,4.31,23.301,65.286,91.033,0
2003-07-05 00:44:54.960,0.2,0.6134,5.125,7.846,68.289,103.851,2
2003-07-15 03:35:24.640,0.2667,0.5638,4.583,6.783,65.042,43.244,1
2003-07-27 14:14:26.740,0.0667,0.8052,6.11,9.944,-80.078,-66.862,0
2003-07-28 15:25:01.740,0.26,0.5388,4.595,9.198,-71.061,-118.603,1
2003-08-01 15:42:22.020,0.14,0.747,5.921,12.839,-77.47,-18.224,0
2003-08-02 02:33:36.200,0.24,0.5645,4.653,4.278,-56.705,52.428,2
2003-08-02 02:34:12.920,0.2733,0.6629,5.225,4.193,-58.914,53.456,0
2003-08-03 18:59:16.800,0.26,0.8554,5.865,3.172,70.689,124.696,1
2003-08-06 10:41:57.740,0.34,0.5193,4.273,6.495,-74.367,-59.994,2
2003-08-08 02:01:44.960,0.2533,0.5343,4.335,3.51,-56.227,47.622,2
2003-08-08 06:15:11.860,0.11,0.723,5.241,4.294,58.364,-42.643,0
2003-08-14 06:17:57.680,0.28,0.5666,4.71,3.82,-72.34,-14.621,2
2003-08-18 09:04:32.720,0.1133,0.5343,4.082,1.657,49.73,-102.387,0
2003-08-18 12:45:09.540,0.125,0.5849,4.287,6.009,-68.109,-126.408,0
2003-08-18 12:46:35.660,0.205,1.0927,5.175,6.617,-72.846,-119.782,0
2003-08-18 14:18:41.060,0.145,0.866,5.015,5.985,-64.278,-153.615,0
2003-08-18 16:53:32.740,0.15,0.4828,3.836,1.49,64.405,131.808,0
2003-08-18 17:24:02.880,0.23,0.6761,4.694,4.398,-50.56,152.295,2
2003-08-21 06:26:14.900,0.18,0.5479,4.362,2.301,50.514,-69.139,2
2003-08-21 17:54:48.900,0.2867,0.656,4.941,3.571,-49.374,137.846,2
2003-08-22 05:02:59.120,0.3133,0.554,4.513,2.681,-71.268,-14.37,1
2003-08-22 05:03:05.300,0.2333,0.5688,4.597,2.691,-71.602,-13.857,0
