,t,per,tb,L,MLT,lat,lon,shapes,final_eye
100,2001-04-07 08:16:58.000,0.1,0.5977,4.862,1.683,51.498,-94.454,decr,1.0
101,2001-04-08 02:22:04.920,0.2933,0.6285,5.053,1.869,-65.988,22.511,half,1.0
102,2001-04-08 11:59:10.520,0.2867,0.6088,5.038,6.255,-73.605,-111.9,,2.0
103,2001-04-08 20:56:22.320,0.22,0.6243,4.589,1.505,65.757,64.194,,2.5
104,2001-04-09 08:10:37.900,0.1467,0.6235,4.929,1.314,51.96,-97.158,,2.5
105,2001-04-09 09:45:45.740,0.38,0.5266,4.375,0.656,54.526,-122.142,crown,1.0
106,2001-04-11 00:27:04.540,0.1867,0.1696,1.816,2.02,-30.204,30.951,crown,1.0
107,2001-04-11 00:27:58.000,0.24,0.19,1.964,1.971,-33.567,31.411,crown,1.0
108,2001-04-11 18:04:17.360,0.0667,0.4124,3.504,2.779,-43.379,128.202,,2.5
109,2001-04-11 18:04:52.500,0.205,0.5142,4.019,2.848,-45.596,128.696,,3.0
110,2001-04-12 10:09:29.340,0.4867,0.4676,3.743,4.731,-69.856,-98.904,crown,1.5
111,2001-04-13 10:09:23.420,0.3667,0.932,5.931,5.845,-79.253,-73.917,half,1.5
112,2001-04-14 13:12:27.060,0.2533,0.5842,4.688,4.623,-62.238,-156.394,,2.0
113,2001-05-09 15:56:32.540,0.0733,0.8754,4.777,21.089,66.644,74.754,,3.0
114,2001-05-10 01:35:18.620,0.0867,0.5935,4.287,22.406,51.161,-61.405,,3.0
115,2001-05-13 05:20:42.400,0.1267,0.7664,5.882,6.626,-61.79,50.346,,3.0
116,2001-06-10 06:35:47.000,0.5267,0.581,4.689,3.066,-75.574,-45.222,decr,1.5
117,2001-06-11 03:20:59.420,0.3867,0.7617,5.86,1.82,-73.361,7.065,half,1.5
118,2001-06-27 03:49:15.420,0.3733,0.5426,4.468,0.758,-73.872,-34.19,decr,1.0
119,2001-07-10 18:56:04.540,0.2933,1.1577,5.632,23.959,-51.715,90.714,,2.5
120,2001-07-25 08:10:35.020,0.245,0.6692,4.814,0.283,-65.386,-145.928,,2.0
121,2001-08-22 21:06:17.120,0.108,0.6737,5.234,6.058,69.251,137.085,,3.0
122,2001-08-31 03:24:48,0.26,0.7307,5.705,5.668,-57.986,61.748,,3.0
123,2001-08-31 09:01:41.460,0.15,0.5473,4.325,19.227,65.957,162.664,,3.0
124,2001-09-04 04:41:47.700,0.4733,0.5943,4.872,5.22,-61.332,36.123,,2.5
125,2001-09-29 04:11:02.480,0.3,0.5678,4.642,2.643,-69.468,-0.361,,3.0
126,2001-09-29 18:26:05.600,0.3867,0.6324,4.983,3.613,-48.873,131.283,crown,1.5
127,2001-09-30 19:25:29.700,0.42,0.5067,3.988,1.498,63.767,87.292,,2.5
128,2001-10-01 16:38:52.740,0.6867,0.4454,3.73,3.831,-47.12,153.51,,2.5
129,2001-10-02 13:37:21.020,0.44,0.5706,4.482,11.285,-72.163,-19.092,,2.0
130,2001-10-02 22:58:07.020,0.3,0.6977,4.786,1.343,-55.524,59.341,,2.0
131,2001-10-03 16:27:54.360,0.1733,0.5061,3.974,3.592,-47.977,152.414,,2.5
132,2001-10-05 17:19:57.160,0.155,1.0284,5.833,0.355,70.163,101.852,,3.0
133,2001-10-22 17:16:25.860,0.2133,0.3645,3.092,22.73,58.81,77.561,crown,1.0
134,2001-10-22 22:02:43.200,0.1067,0.5701,3.94,23.103,60.353,4.667,,3.0
135,2001-10-25 20:06:23.880,0.21,0.6239,4.708,22.453,64.616,24.645,,3.0
136,2001-11-01 08:54:35.940,0.3533,0.7516,5.24,6.918,-74.61,-15.098,,2.0
137,2001-11-01 13:26:27.440,0.185,0.5056,4.082,23.382,-46.616,137.621,,2.5
138,2001-11-07 04:53:53.500,0.24,0.5154,3.943,0.345,-72.029,-87.947,,2.0
139,2001-11-19 09:43:17.400,0.0733,0.6601,5.04,21.889,-52.572,158.587,,3.0
140,2001-12-17 18:09:18.580,0.2333,0.5445,4.492,4.355,66.557,162.08,,2.0
