,t,per,tb,L,MLT,lat,lon,shapes,final_eye,pl1,dt,T05,OP,SL,T89,OM
45,2002-04-20 05:33:57.660,0.22,0.4151,3.391,21.307,48.233,-114.87,crown,1.5,0.9047644411764706,"[0.18, 0.22, 0.26]",0.4151131213094298,0.3704362508525123,0.3744492727870441,0.3732184167773258,0.3945057091742048
46,2002-08-03 08:00:00.120,0.4,0.6287,4.974,7.081,-66.564,18.905,crown,1.0,0.2579938235294121,"[0.42, 0.38, 0.4]",0.6286468111945637,0.5892776770745901,0.5851076917873113,0.5832138254887134,0.6128005149042736
47,2002-08-04 02:56:24.040,0.2,0.6355,5.061,7.262,-51.247,83.882,crown,1.5,1.0,"[0.18, 0.22, 0.2]",0.6354792164377249,0.6019683981541889,0.5996021918764692,0.5941187354259939,0.6134182827268577
48,2002-09-01 01:00:13.000,0.34,0.543,4.478,3.134,-54.979,56.265,crown,1.5,0.9283696078431372,"[0.36, 0.34, 0.32]",0.5430011393154737,0.5280833601668625,0.5258646569758016,0.5236967844174634,0.5324689508853953
49,2002-09-13 12:32:08.840,0.3467,0.6359,5.178,10.621,-72.418,-2.523,other,1.0,0.8689556666666666,"[0.36, 0.32, 0.36]",0.6359670979843319,0.6109301606156174,0.6065949990758894,0.6059449935746248,0.6435084693134958
50,2002-10-04 03:06:45.400,0.5267,0.4815,3.897,12.471,64.72,141.859,crown,1.5,0.972624950980392,"[0.56, 0.52, 0.5]",0.4814961043658356,0.4446994575874704,0.4455496154136882,0.4442858003157218,0.4779043177174187
51,2002-10-04 11:45:05.380,0.4667,0.4038,3.442,1.587,-51.761,-175.849,decr,1.0,0.735145137254902,"[0.46, 0.46, 0.48]",0.4038539962979812,0.3857861575214954,0.3887981408843311,0.3865138630878948,0.4015053708896208
52,2002-10-05 03:07:27.660,0.28,0.6031,4.546,23.237,51.159,-69.039,half,1.0,0.6475591029411766,"[0.3, 0.28, 0.26]",0.6030357226020215,0.5281928581455321,0.5283649403001635,0.525080044083249,0.5563474932563548
53,2002-10-05 06:01:28.540,0.6267,0.5245,4.279,12.739,65.351,96.393,other,1.0,1.0,"[0.6, 0.64, 0.64]",0.5244350049478009,0.4954853356827369,0.4960438430253376,0.4939174762359403,0.5251514991370442
54,2002-10-29 11:41:04.640,0.46,0.5983,4.917,7.224,-75.474,-92.594,decr,1.5,1.0,"[0.44, 0.46, 0.48]",0.5983099699784408,0.5855566053761649,0.5837806720930159,0.5803582847026544,0.604048899819359
