,t,w,s,s_err
98,2001-11-26 04:30:44.940,"[0.0769, 0.059, 0.04, 0.0511, 0.0528, 0.0622]","[0.201618, 0.194542, 0.192221, 0.191246, 0.188068]","[0.0028, 0.0013, 0.0024, 0.0012, 0.0017]"
99,2001-11-29 00:31:28.420,"[0.0631, 0.0562]",[0.233121],[0.0035]
100,2001-12-02 08:24:33.780,[],[],[]
101,2001-12-13 20:59:49.320,"[0.0678, 0.0536, 0.0353, 0.0512]","[0.200118, 0.199264, 0.199599]","[0.0034, 0.0035, 0.0036]"
102,2001-12-24 00:51:47.860,"[0.0353, 0.0353]",[0.220524],[0.0034]
103,2001-12-28 00:18:49.640,[],[],[]
104,2002-01-25 20:02:18.660,"[0.0423, 0.0504, 0.0522, 0.0625, 0.0716]","[0.247111, 0.239874, 0.237059, 0.234933]","[0.0029, 0.0021, 0.0039, 0.0049]"
105,2002-01-29 09:22:40.900,"[0.0531, 0.065]",[0.216544],[0.004]
106,2002-02-05 08:15:04.080,[],[],[]
107,2002-05-23 04:09:34.240,"[0.0796, 0.1008, 0.1027]","[0.217187, 0.199382]","[0.0071, 0.0082]"
108,2002-09-06 07:42:20.280,[],[],[]
109,2002-09-20 07:25:34.880,[],[],[]
110,2002-10-17 07:11:13.420,"[0.0668, 0.051, 0.0665, 0.0633, 0.0795]","[0.213421, 0.219608, 0.217865, 0.213645]","[0.003, 0.0033, 0.0014, 0.0047]"
111,2002-10-18 01:45:53.740,"[0.0703, 0.0657, 0.0483, 0.0659, 0.053, 0.0622]","[0.244273, 0.241536, 0.231457, 0.225836, 0.229574]","[0.0044, 0.002, 0.0044, 0.0024, 0.0028]"
112,2002-10-18 06:55:42.920,"[0.0449, 0.0611, 0.044, 0.0514]","[0.214014, 0.19993, 0.2019]","[0.004, 0.002, 0.0031]"
113,2002-11-16 15:57:43.680,"[0.0563, 0.0534, 0.0648, 0.0649, 0.0735, 0.0781, 0.0566]","[0.289736, 0.27095, 0.258229, 0.265324, 0.245241, 0.254377]","[0.003, 0.0044, 0.001, 0.004, 0.0033, 0.0046]"
114,2002-11-18 03:13:49.300,[],[],[]
115,2002-11-19 07:37:48.880,"[0.0368, 0.0523, 0.0563, 0.0478, 0.062]","[0.192606, 0.184168, 0.192288, 0.184532]","[0.004, 0.0026, 0.0042, 0.0035]"
116,2002-12-08 00:48:24.760,[],[],[]
117,2002-12-14 02:11:41.920,"[0.1265, 0.0683, 0.0646, 0.0583]","[0.2758, 0.266189, 0.260273]","[0.0061, 0.0047, 0.0045]"
118,2003-01-25 06:37:22.260,[],[],[]
119,2003-01-30 16:42:01.460,"[0.0669, 0.0882, 0.0781, 0.0619, 0.0644, 0.0718, 0.0786, 0.0935, 0.0997]","[0.236568, 0.228645, 0.224196, 0.222804, 0.219037, 0.211808, 0.218307, 0.213211]","[0.0042, 0.0009, 0.0014, 0.003, 0.001, 0.0032, 0.0031, 0.0026]"
120,2003-01-30 16:42:08.380,"[0.0955, 0.0981, 0.0842, 0.085]","[0.223154, 0.224853, 0.219058]","[0.0048, 0.0029, 0.0029]"
121,2003-04-21 18:47:43.900,"[0.0458, 0.0904, 0.1063, 0.1099]","[0.244566, 0.222045, 0.23136]","[0.0043, 0.0092, 0.0117]"
122,2003-04-24 10:20:00.380,[],[],[]
123,2003-04-28 18:03:00.320,[],[],[]
124,2003-04-30 03:39:29.760,[],[],[]
125,2003-05-01 03:21:14.500,"[0.097, 0.0528, 0.0433, 0.0561, 0.0648]","[0.21403, 0.208683, 0.208032, 0.206496]","[0.0034, 0.0019, 0.0027, 0.0059]"
126,2003-05-21 13:29:07.920,[],[],[]
127,2003-06-08 22:02:22.580,"[0.0458, 0.0387, 0.0353, 0.0353, 0.0373, 0.0353, 0.0357]","[0.251381, 0.255534, 0.243494, 0.241178, 0.239947, 0.23872]","[0.0018, 0.0021, 0.002, 0.0036, 0.0023, 0.0028]"
128,2003-06-15 21:13:11.000,"[0.046, 0.0837, 0.0491, 0.0512]","[0.247042, 0.235295, 0.236278]","[0.0054, 0.0016, 0.0019]"
129,2003-06-15 21:13:24.480,"[0.0456, 0.0517, 0.0507, 0.0369, 0.042]","[0.226241, 0.225605, 0.219143, 0.220058]","[0.0049, 0.0029, 0.0017, 0.0033]"
130,2003-07-15 17:08:11.940,"[0.0693, 0.0567, 0.0628, 0.0617]","[0.195226, 0.206122, 0.203556]","[0.0043, 0.0046, 0.0053]"
131,2003-08-05 10:58:21.320,"[0.0468, 0.0582, 0.0406, 0.038, 0.0802]","[0.266954, 0.258575, 0.258431, 0.246026]","[0.0054, 0.0027, 0.0024, 0.0071]"
132,2003-09-14 06:14:14.020,[],[],[]
133,2003-10-04 05:39:19.800,"[0.0482, 0.0505, 0.0485, 0.0644, 0.0766]","[0.272963, 0.265461, 0.261873, 0.252868]","[0.0018, 0.0012, 0.0025, 0.006]"
134,2003-10-13 10:10:01.800,"[0.0395, 0.0353]",[0.220094],[0.0024]
135,2003-10-14 18:52:49.400,[],[],[]
136,2003-10-16 09:04:34.940,"[0.079, 0.0657, 0.0655, 0.0803, 0.082]","[0.222229, 0.231334, 0.212326, 0.221492]","[0.0031, 0.0055, 0.0058, 0.0066]"
137,2003-10-20 04:33:03.240,[],[],[]
138,2003-10-22 05:23:50.380,[],[],[]
139,2003-10-25 16:24:29.480,"[0.0533, 0.074, 0.0633, 0.0583, 0.0685, 0.0542, 0.0802]","[0.285599, 0.270555, 0.273898, 0.262404, 0.255918, 0.26354]","[0.0062, 0.0043, 0.0027, 0.0021, 0.0056, 0.009]"
140,2003-10-26 16:03:41.920,[],[],[]
141,2003-11-05 00:12:46.400,"[0.0931, 0.0628]",[0.231444],[0.0045]
