,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts,Beq
2001-04-12 00:23:27.580,29.528,-28.894,530.5,1.759,0.234,1.911,68.976,68.976,77.809,1,1,3136.0,0.056
2001-04-12 00:24:33.740,30.075,-33.013,536.308,1.939,0.234,1.856,69.11,69.11,71.536,1,1,3008.0,0.042
2001-04-25 07:45:57.740,-101.293,-54.593,615.182,2.08,0.325,1.87,60.729,60.729,58.457,0,1,344.0,0.033
2001-04-25 22:03:01.920,37.666,-37.041,592.065,2.171,0.247,0.01,66.345,66.345,94.296,1,4,2880.0,0.03
2001-05-22 18:43:45.860,30.605,-30.276,625.099,1.835,0.228,20.455,66.844,66.844,92.159,1,0,3776.0,0.05
2001-08-30 04:59:17.680,32.678,-36.45,626.11,2.134,0.234,6.429,66.506,66.506,88.119,1,0,132.0,0.032
2001-10-21 22:34:31.380,19.515,-34.896,497.305,2.013,0.225,23.34,70.784,70.784,101.037,1,1,264.0,0.038
2001-11-10 01:16:01.540,-55.167,-52.741,542.194,1.924,0.246,21.448,64.186,64.186,91.643,1,0,976.0,0.043
2001-11-14 10:40:31.900,-46.293,-49.263,618.792,1.876,0.221,7.654,63.369,63.369,86.978,1,0,4032.0,0.047
2001-11-23 04:51:27.320,26.531,-35.961,609.033,2.093,0.225,6.187,67.806,67.806,92.523,1,0,4032.0,0.034
2001-11-26 04:30:44.940,26.819,-29.771,596.208,1.809,0.226,5.984,67.715,67.715,92.023,1,0,3776.0,0.052
2001-11-29 00:31:28.420,-82.7,-54.175,606.702,1.944,0.285,19.433,61.101,61.101,92.144,0,0,440.0,0.041
2001-12-02 08:24:33.780,-52.277,-56.253,611.059,2.158,0.252,5.111,62.184,62.184,87.552,1,0,4480.0,0.03
2001-12-13 20:59:49.320,-61.856,-50.976,620.922,1.821,0.238,16.683,61.841,61.841,92.152,1,0,408.0,0.05
2001-12-24 00:51:47.860,23.124,-33.31,507.69,1.946,0.227,1.5,70.338,70.338,89.823,1,1,3264.0,0.042
2001-12-28 00:18:49.640,22.78,-34.902,499.91,2.015,0.228,0.84,70.655,70.655,86.184,1,1,784.0,0.038
2002-01-25 20:02:18.660,27.0,-35.363,517.554,2.049,0.231,20.819,69.925,69.925,87.068,1,0,360.0,0.036
2002-01-29 09:22:40.900,10.623,-31.332,498.731,1.838,0.221,9.525,69.818,69.818,88.752,1,0,4992.0,0.049
2002-02-05 08:15:04.080,13.428,-32.994,487.197,1.913,0.222,8.488,70.611,70.611,88.772,1,0,2240.0,0.044
2002-05-23 04:09:34.240,21.813,-31.949,543.917,1.896,0.224,5.122,69.349,69.349,91.136,1,0,1120.0,0.045
2002-09-06 07:42:20.280,-55.114,-55.381,485.853,2.043,0.262,3.835,65.541,65.541,89.129,1,0,592.0,0.036
2002-09-20 07:25:34.880,-77.899,-59.603,512.672,2.246,0.312,2.818,63.725,63.725,110.799,0,0,1184.0,0.027
2002-10-17 07:11:13.420,29.135,-34.148,555.27,1.998,0.231,8.833,68.786,68.786,91.45,1,0,296.0,0.039
2002-10-18 01:45:53.740,-54.254,-52.861,578.915,1.953,0.242,22.048,63.28,63.28,56.071,1,1,2016.0,0.041
2002-10-18 06:55:42.920,31.275,-32.573,550.385,1.924,0.234,8.756,68.614,68.614,91.773,1,0,440.0,0.043
2002-11-16 15:57:43.680,25.972,-36.283,557.836,2.098,0.227,17.268,69.048,69.048,92.902,1,0,296.0,0.033
2002-11-18 03:13:49.300,21.862,-34.65,473.284,2.001,0.228,4.176,71.375,71.375,92.374,1,0,376.0,0.039
2002-11-19 07:37:48.880,-50.83,-49.915,483.314,1.822,0.235,4.382,66.56,66.56,81.364,1,0,1184.0,0.051
2002-12-08 00:48:24.760,16.983,-32.962,490.905,1.923,0.223,1.185,70.721,70.721,85.296,1,1,2624.0,0.043
2002-12-14 02:11:41.920,-20.292,-47.621,500.839,2.156,0.221,23.864,68.655,68.655,89.285,1,0,2240.0,0.031
2003-01-25 06:37:22.260,18.131,-24.554,519.664,1.611,0.229,7.352,68.145,68.145,86.812,1,0,1184.0,0.072
2003-01-30 16:42:01.460,26.431,-32.422,545.089,1.912,0.228,17.661,69.239,69.239,86.012,1,0,1008.0,0.044
2003-01-30 16:42:08.380,26.49,-31.994,544.587,1.894,0.228,17.678,69.212,69.212,85.79,1,0,1760.0,0.045
2003-04-21 18:47:43.900,16.037,-33.129,475.784,1.924,0.223,19.383,71.112,71.112,93.06,1,0,1312.0,0.043
2003-04-24 10:20:00.380,-58.06,-49.612,560.127,1.775,0.234,6.194,63.887,63.887,81.842,1,0,944.0,0.055
2003-04-28 18:03:00.320,12.835,-34.182,492.404,1.959,0.22,18.39,70.731,70.731,92.863,1,0,1440.0,0.041
